utt_id,spk_id,demog,gender,speaking_style,duration,num_samples,filepath,transcription
N000160-fn000373-100.6695-102.3506,N000160,DT,f,read,['1.681125'],['26897'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-100.6695-102.3506.wav'],alle kinderen naar school gaan
N000160-fn000373-102.3506-103.8968,N000160,DT,f,read,['1.546188'],['24739'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-102.3506-103.8968.wav'],de gemeente houdt de stad schoon
N000160-fn000373-103.8968-106.0565,N000160,DT,f,read,['2.159688'],['34556'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-103.8968-106.0565.wav'],en zorgt voor goede straten en fietspaden
N000160-fn000373-106.0565-108.8467,N000160,DT,f,read,['2.790188'],['44643'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-106.0565-108.8467.wav'],ook zorgt de gemeente voor de bomen en de parken
N000160-fn000373-108.8467-111.5709,N000160,DT,f,read,['2.724188'],['43587'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-108.8467-111.5709.wav'],het is belangrijk dat er voldoende groen is in de stad
N000160-fn000373-115.4164-117.6498,N000160,DT,f,read,['2.233438'],['35734'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-115.4164-117.6498.wav'],voor veel dingen moet je in nederland naar een balie
N000160-fn000373-117.6498-120.5825,N000160,DT,f,read,['2.932688'],['46924'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-117.6498-120.5825.wav'],bijvoorbeeld naar het gemeentehuis de bank of naar het postkantoor
N000160-fn000373-120.9384-122.3098,N000160,DT,f,read,['1.371438'],['21942'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-120.9384-122.3098.wav'],meestal zijn er meer mensen
N000160-fn000373-122.3098-124.1113,N000160,DT,f,read,['1.8015'],['28824'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-122.3098-124.1113.wav'],en moet je wachten tot je aan de beurt bent
N000160-fn000373-124.5140-126.6368,N000160,DT,f,read,['2.122813'],['33964'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-124.5140-126.6368.wav'],je kunt niet even iets anders gaan doen
N000160-fn000373-126.6368-128.5266,N000160,DT,f,read,['1.889812'],['30237'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-126.6368-128.5266.wav'],want dan ben je je plaats kwijt
N000160-fn000373-13.4858-14.2344,N000160,DT,f,read,['0.7485625'],['11978'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-13.4858-14.2344.wav'],ja nu
N000160-fn000373-131.5452-133.9183,N000160,DT,f,read,['2.373125'],['37969'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-131.5452-133.9183.wav'],soms kun je nummertjes trekken uit een apparaat
N000160-fn000373-133.9183-135.6608,N000160,DT,f,read,['1.7425'],['27880'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-133.9183-135.6608.wav'],en kun je bij de balie
N000160-fn000373-136.4338-137.7714,N000160,DT,f,read,['1.337562'],['21402'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-136.4338-137.7714.wav'],er aan de beurt is
N000160-fn000373-138.5935-140.2992,N000160,DT,f,read,['1.705688'],['27291'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-138.5935-140.2992.wav'],als het nog erg lang duurt
N000160-fn000373-14.6638-15.8664,N000160,DT,f,read,['1.202562'],['19242'],['dump/raw/nl_test_read_all_hires/data/format.6/N000160-fn000373-14.6638-15.8664.wav'],veel nederlanders vieren
